name,datetime,conditions,description,icon
NH,2015-01-01,Clear,Clear conditions throughout the day.,clear-day
NH,2015-01-02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2015-01-03,"Snow, Partially cloudy",Becoming cloudy in the afternoon with late afternoon snow.,snow
NH,2015-01-04,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow
NH,2015-01-05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2015-01-06,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow
NH,2015-01-07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2015-01-08,Clear,Clear conditions throughout the day.,clear-day
NH,2015-01-09,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow
NH,2015-01-10,Clear,Clear conditions throughout the day.,snow
NH,2015-01-11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2015-01-12,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain
NH,2015-01-13,Clear,Clear conditions throughout the day.,clear-day
NH,2015-01-14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2015-01-15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2015-01-16,Partially cloudy,Partly cloudy throughout the day.,wind
NH,2015-01-17,Clear,Clear conditions throughout the day.,clear-day
NH,2015-01-18,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain
NH,2015-01-19,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
NH,2015-01-20,Clear,Clear conditions throughout the day.,clear-day
NH,2015-01-21,Clear,Clear conditions throughout the day.,clear-day
NH,2015-01-22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2015-01-23,Clear,Clear conditions throughout the day.,clear-day
NH,2015-01-24,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow
NH,2015-01-25,"Snow, Rain, Partially cloudy",Clearing in the afternoon with morning rain or snow.,snow
NH,2015-01-26,Partially cloudy,Becoming cloudy in the afternoon.,snow
NH,2015-01-27,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow
NH,2015-01-28,"Snow, Partially cloudy",Clearing in the afternoon with early morning snow.,snow
NH,2015-01-29,Clear,Clear conditions throughout the day.,clear-day
NH,2015-01-30,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow
NH,2015-01-31,Partially cloudy,Clearing in the afternoon.,snow
NH,2015-02-01,Clear,Clear conditions throughout the day.,snow
