name,datetime,conditions,description,icon
NH,2000-01-01,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
NH,2000-01-02,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain
NH,2000-01-03,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
NH,2000-01-04,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain
NH,2000-01-05,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain
NH,2000-01-06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2000-01-07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2000-01-08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2000-01-09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2000-01-10,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
NH,2000-01-11,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain
NH,2000-01-12,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
NH,2000-01-13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2000-01-14,Clear,Clear conditions throughout the day.,clear-day
NH,2000-01-15,Clear,Clear conditions throughout the day.,clear-day
NH,2000-01-16,"Snow, Partially cloudy",Partly cloudy throughout the day with snow in the morning and afternoon.,snow
NH,2000-01-17,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
NH,2000-01-18,Clear,Clear conditions throughout the day.,clear-day
NH,2000-01-19,Clear,Clear conditions throughout the day.,clear-day
NH,2000-01-20,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow
NH,2000-01-21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2000-01-22,Clear,Clear conditions throughout the day.,clear-day
NH,2000-01-23,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
NH,2000-01-24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2000-01-25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow
NH,2000-01-26,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,snow
NH,2000-01-27,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
NH,2000-01-28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2000-01-29,Clear,Clear conditions throughout the day.,clear-day
NH,2000-01-30,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2000-01-31,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain
NH,2000-02-01,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
NH,2000-02-02,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
NH,2000-02-03,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
NH,2000-02-04,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
NH,2000-02-05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2000-02-06,Clear,Clear conditions throughout the day.,clear-day
NH,2000-02-07,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain
NH,2000-02-08,Clear,Clear conditions throughout the day.,clear-day
NH,2000-02-09,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
NH,2000-02-10,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
NH,2000-02-11,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain
NH,2000-02-12,Clear,Clear conditions throughout the day.,clear-day
NH,2000-02-13,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
NH,2000-02-14,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain
NH,2000-02-15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2000-02-16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2000-02-17,"Snow, Rain",Clear conditions throughout the day with early morning snow or rain.,rain
NH,2000-02-18,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow
NH,2000-02-19,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow
NH,2000-02-20,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2000-02-21,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
NH,2000-02-22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2000-02-23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2000-02-24,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
NH,2000-02-25,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain
NH,2000-02-26,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain
