name,datetime,conditions,description,icon
CT,2020/1/16,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain
CT,2020/1/17,Clear,Clear conditions throughout the day.,clear-day
CT,2020/1/18,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow
CT,2020/1/19,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow
CT,2020/1/20,Clear,Clear conditions throughout the day.,clear-day
CT,2020/1/21,Clear,Clear conditions throughout the day.,clear-day
CT,2020/1/22,Clear,Clear conditions throughout the day.,clear-day
CT,2020/1/23,Clear,Clear conditions throughout the day.,clear-day
CT,2020/1/24,Clear,Clear conditions throughout the day.,snow
CT,2020/1/25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
CT,2020/1/26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
CT,2020/1/27,Overcast,Cloudy skies throughout the day.,cloudy
CT,2020/1/28,Overcast,Cloudy skies throughout the day.,cloudy
CT,2020/1/29,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
CT,2020/1/30,Clear,Clear conditions throughout the day.,clear-day
CT,2020/1/31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
CT,2020/2/1,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,rain
CT,2020/2/2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
CT,2020/2/3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
CT,2020/2/4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
CT,2020/2/5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
CT,2020/2/6,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain
CT,2020/2/7,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain
CT,2020/2/8,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
CT,2020/2/9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
CT,2020/2/10,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
CT,2020/2/11,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
CT,2020/2/12,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
CT,2020/2/13,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain
CT,2020/2/14,Clear,Clear conditions throughout the day.,clear-day
CT,2020/2/15,Clear,Clear conditions throughout the day.,clear-day
CT,2020/2/16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
CT,2020/2/17,Clear,Clear conditions throughout the day.,clear-day
CT,2020/2/18,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain
CT,2020/2/19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
CT,2020/2/20,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
CT,2020/2/21,Clear,Clear conditions throughout the day.,clear-day
CT,2020/2/22,Clear,Clear conditions throughout the day.,clear-day
CT,2020/2/23,Clear,Clear conditions throughout the day.,clear-day
CT,2020/2/24,Clear,Clear conditions throughout the day.,clear-day
CT,2020/2/25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
CT,2020/2/26,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain
CT,2020/2/27,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
CT,2020/2/28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
CT,2020/2/29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
CT,2020/3/1,Clear,Clear conditions throughout the day.,clear-day
CT,2020/3/2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
CT,2020/3/3,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain
CT,2020/3/4,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
CT,2020/3/5,Clear,Clear conditions throughout the day.,clear-day
CT,2020/3/6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
CT,2020/3/7,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
CT,2020/3/8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
CT,2020/3/9,Clear,Clear conditions throughout the day.,clear-day
CT,2020/3/10,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
CT,2020/3/11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
CT,2020/3/12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
CT,2020/3/13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
CT,2020/3/14,Clear,Clear conditions throughout the day.,clear-day
CT,2020/3/15,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
CT,2020/3/16,Rain,Clear conditions throughout the day with afternoon rain.,rain
CT,2020/3/17,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain
CT,2020/3/18,Clear,Clear conditions throughout the day.,clear-day
CT,2020/3/19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
CT,2020/3/20,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
CT,2020/3/21,Clear,Clear conditions throughout the day.,clear-day
CT,2020/3/22,Clear,Clear conditions throughout the day.,clear-day
CT,2020/3/23,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain
