name,datetime,conditions,description,icon
NH,2010-01-01,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow
NH,2010-01-02,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow
NH,2010-01-03,Overcast,Cloudy skies throughout the day.,snow
NH,2010-01-04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-01-05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-01-06,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
NH,2010-01-07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-01-08,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow
NH,2010-01-09,Clear,Clear conditions throughout the day.,clear-day
NH,2010-01-10,Clear,Clear conditions throughout the day.,clear-day
NH,2010-01-11,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
NH,2010-01-12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-01-13,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
NH,2010-01-14,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
NH,2010-01-15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-01-16,Clear,Clear conditions throughout the day.,clear-day
NH,2010-01-17,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow
NH,2010-01-18,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow
NH,2010-01-19,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain
NH,2010-01-20,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain
NH,2010-01-21,Clear,Clear conditions throughout the day.,clear-day
NH,2010-01-22,Clear,Clear conditions throughout the day.,clear-day
NH,2010-01-23,Clear,Clear conditions throughout the day.,clear-day
NH,2010-01-24,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain or snow.,rain
NH,2010-01-25,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain
NH,2010-01-26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-01-27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-01-28,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,snow
NH,2010-01-29,Clear,Clear conditions throughout the day.,clear-day
NH,2010-01-30,Clear,Clear conditions throughout the day.,clear-day
NH,2010-01-31,Clear,Clear conditions throughout the day.,clear-day
NH,2010-02-01,Clear,Clear conditions throughout the day.,clear-day
NH,2010-02-02,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
NH,2010-02-03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-02-04,Clear,Clear conditions throughout the day.,clear-day
NH,2010-02-05,Clear,Clear conditions throughout the day.,clear-day
NH,2010-02-06,Clear,Clear conditions throughout the day.,clear-day
NH,2010-02-07,Clear,Clear conditions throughout the day.,clear-day
NH,2010-02-08,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
NH,2010-02-09,Clear,Clear conditions throughout the day.,clear-day
NH,2010-02-10,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow in the morning and afternoon.,rain
NH,2010-02-11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-02-12,Clear,Clear conditions throughout the day.,clear-day
NH,2010-02-13,Clear,Clear conditions throughout the day.,clear-day
NH,2010-02-14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-02-15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-02-16,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow
NH,2010-02-17,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,snow
NH,2010-02-18,Overcast,Cloudy skies throughout the day.,cloudy
NH,2010-02-19,Overcast,Cloudy skies throughout the day.,cloudy
NH,2010-02-20,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
NH,2010-02-21,Clear,Clear conditions throughout the day.,clear-day
NH,2010-02-22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-02-23,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,rain
NH,2010-02-24,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain
NH,2010-02-25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
NH,2010-02-26,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain
NH,2010-02-27,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain
NH,2010-02-28,Overcast,Cloudy skies throughout the day.,cloudy
NH,2010-03-01,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain
NH,2010-03-02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-03-03,Overcast,Cloudy skies throughout the day.,cloudy
NH,2010-03-04,Overcast,Cloudy skies throughout the day.,cloudy
NH,2010-03-05,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
NH,2010-03-06,Clear,Clear conditions throughout the day.,clear-day
NH,2010-03-07,Clear,Clear conditions throughout the day.,clear-day
NH,2010-03-08,Clear,Clear conditions throughout the day.,clear-day
NH,2010-03-09,Clear,Clear conditions throughout the day.,clear-day
NH,2010-03-10,Clear,Clear conditions throughout the day.,clear-day
NH,2010-03-11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
NH,2010-03-12,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
NH,2010-03-13,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain
NH,2010-03-14,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain
NH,2010-03-15,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
NH,2010-03-16,Clear,Clear conditions throughout the day.,clear-day
NH,2010-03-17,Clear,Clear conditions throughout the day.,clear-day
NH,2010-03-18,Clear,Clear conditions throughout the day.,clear-day
NH,2010-03-19,Clear,Clear conditions throughout the day.,clear-day
NH,2010-03-20,Clear,Clear conditions throughout the day.,clear-day
NH,2010-03-21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-03-22,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
NH,2010-03-23,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
NH,2010-03-24,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
NH,2010-03-25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
NH,2010-03-26,"Snow, Rain, Partially cloudy",Clearing in the afternoon with early morning snow or rain.,rain
NH,2010-03-27,Clear,Clear conditions throughout the day.,clear-day
NH,2010-03-28,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
NH,2010-03-29,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
NH,2010-03-30,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
NH,2010-03-31,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain
NH,2010-04-01,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
NH,2010-04-02,Clear,Clear conditions throughout the day.,clear-day
NH,2010-04-03,Clear,Clear conditions throughout the day.,clear-day
NH,2010-04-04,Clear,Clear conditions throughout the day.,clear-day
NH,2010-04-05,Clear,Clear conditions throughout the day.,clear-day
NH,2010-04-06,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
NH,2010-04-07,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
NH,2010-04-08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-04-09,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
NH,2010-04-10,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-04-11,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
NH,2010-04-12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-04-13,Clear,Clear conditions throughout the day.,clear-day
NH,2010-04-14,Clear,Clear conditions throughout the day.,clear-day
NH,2010-04-15,Clear,Clear conditions throughout the day.,clear-day
NH,2010-04-16,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain
NH,2010-04-17,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
NH,2010-04-18,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain
NH,2010-04-19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-04-20,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-04-21,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
NH,2010-04-22,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
NH,2010-04-23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-04-24,Clear,Clear conditions throughout the day.,clear-day
NH,2010-04-25,Clear,Clear conditions throughout the day.,clear-day
NH,2010-04-26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-04-27,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
NH,2010-04-28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
NH,2010-04-29,Clear,Clear conditions throughout the day.,clear-day
NH,2010-04-30,Clear,Clear conditions throughout the day.,clear-day
NH,2010-05-01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-05-02,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
NH,2010-05-03,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
NH,2010-05-04,Rain,Clear conditions throughout the day with late afternoon rain.,rain
NH,2010-05-05,Clear,Clear conditions throughout the day.,clear-day
NH,2010-05-06,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
NH,2010-05-07,Clear,Clear conditions throughout the day.,clear-day
NH,2010-05-08,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
NH,2010-05-09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-05-10,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
NH,2010-05-11,Clear,Clear conditions throughout the day.,clear-day
NH,2010-05-12,Clear,Clearing in the afternoon.,clear-day
NH,2010-05-13,Clear,Clear conditions throughout the day.,clear-day
NH,2010-05-14,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
NH,2010-05-15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-05-16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-05-17,Clear,Clear conditions throughout the day.,clear-day
NH,2010-05-18,Rain,Clear conditions throughout the day with late afternoon rain.,rain
NH,2010-05-19,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
NH,2010-05-20,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
NH,2010-05-21,Clear,Clear conditions throughout the day.,clear-day
NH,2010-05-22,Clear,Clear conditions throughout the day.,clear-day
NH,2010-05-23,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
NH,2010-05-24,Clear,Clear conditions throughout the day.,clear-day
NH,2010-05-25,Clear,Clear conditions throughout the day.,clear-day
NH,2010-05-26,Rain,Clear conditions throughout the day with late afternoon rain.,rain
NH,2010-05-27,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain
NH,2010-05-28,Clear,Clear conditions throughout the day.,clear-day
NH,2010-05-29,Clear,Clear conditions throughout the day.,clear-day
NH,2010-05-30,Clear,Clear conditions throughout the day.,clear-day
NH,2010-05-31,Clear,Clear conditions throughout the day.,clear-day
NH,2010-06-01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-06-02,Clear,Clear conditions throughout the day.,clear-day
NH,2010-06-03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain
NH,2010-06-04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-06-05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
NH,2010-06-06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
NH,2010-06-07,"Rain, Partially cloudy",Becoming cloudy in the afternoon with morning rain.,rain
NH,2010-06-08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-06-09,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
NH,2010-06-10,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
NH,2010-06-11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-06-12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain
NH,2010-06-13,Overcast,Cloudy skies throughout the day.,cloudy
NH,2010-06-14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-06-15,Clear,Clear conditions throughout the day.,clear-day
NH,2010-06-16,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
NH,2010-06-17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
NH,2010-06-18,Clear,Clear conditions throughout the day.,clear-day
NH,2010-06-19,Clear,Clear conditions throughout the day.,clear-day
NH,2010-06-20,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-06-21,Clear,Clear conditions throughout the day.,clear-day
NH,2010-06-22,Clear,Clear conditions throughout the day.,clear-day
NH,2010-06-23,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
NH,2010-06-24,Rain,Clear conditions throughout the day with afternoon rain.,rain
NH,2010-06-25,Clear,Clear conditions throughout the day.,clear-day
NH,2010-06-26,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
NH,2010-06-27,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
NH,2010-06-28,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
NH,2010-06-29,Clear,Clear conditions throughout the day.,clear-day
NH,2010-06-30,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
NH,2010-07-01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-07-02,Clear,Clear conditions throughout the day.,clear-day
NH,2010-07-03,Clear,Clear conditions throughout the day.,clear-day
NH,2010-07-04,Clear,Clear conditions throughout the day.,clear-day
NH,2010-07-05,Clear,Clear conditions throughout the day.,clear-day
NH,2010-07-06,Clear,Clear conditions throughout the day.,clear-day
NH,2010-07-07,Clear,Clear conditions throughout the day.,clear-day
NH,2010-07-08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-07-09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-07-10,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain
NH,2010-07-11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-07-12,Clear,Clear conditions throughout the day.,clear-day
NH,2010-07-13,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
NH,2010-07-14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
NH,2010-07-15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-07-16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
NH,2010-07-17,Clear,Clear conditions throughout the day.,clear-day
NH,2010-07-18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-07-19,Rain,Clear conditions throughout the day with late afternoon rain.,rain
NH,2010-07-20,Rain,Clear conditions throughout the day with morning rain.,rain
NH,2010-07-21,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
NH,2010-07-22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-07-23,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
NH,2010-07-24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-07-25,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain
NH,2010-07-26,Clear,Clear conditions throughout the day.,clear-day
NH,2010-07-27,Clear,Clear conditions throughout the day.,clear-day
NH,2010-07-28,Clear,Clear conditions throughout the day.,clear-day
NH,2010-07-29,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
NH,2010-07-30,Clear,Clear conditions throughout the day.,clear-day
NH,2010-07-31,Clear,Clear conditions throughout the day.,clear-day
NH,2010-08-01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-08-02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
NH,2010-08-03,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
NH,2010-08-04,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain
NH,2010-08-05,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
NH,2010-08-06,Clear,Clear conditions throughout the day.,clear-day
NH,2010-08-07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-08-08,Clear,Clear conditions throughout the day.,clear-day
NH,2010-08-09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
NH,2010-08-10,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
NH,2010-08-11,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
NH,2010-08-12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-08-13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-08-14,Clear,Clear conditions throughout the day.,clear-day
NH,2010-08-15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-08-16,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
NH,2010-08-17,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
NH,2010-08-18,Clear,Clear conditions throughout the day.,clear-day
NH,2010-08-19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-08-20,Clear,Clear conditions throughout the day.,clear-day
NH,2010-08-21,Clear,Clear conditions throughout the day.,clear-day
NH,2010-08-22,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
NH,2010-08-23,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
NH,2010-08-24,Overcast,Cloudy skies throughout the day.,cloudy
NH,2010-08-25,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
NH,2010-08-26,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
NH,2010-08-27,Clear,Clear conditions throughout the day.,clear-day
NH,2010-08-28,Clear,Clear conditions throughout the day.,clear-day
NH,2010-08-29,Clear,Clear conditions throughout the day.,clear-day
NH,2010-08-30,Clear,Clear conditions throughout the day.,clear-day
NH,2010-08-31,Clear,Clear conditions throughout the day.,clear-day
NH,2010-09-01,Clear,Clear conditions throughout the day.,clear-day
NH,2010-09-02,Clear,Clear conditions throughout the day.,clear-day
NH,2010-09-03,Clear,Clear conditions throughout the day.,clear-day
NH,2010-09-04,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
NH,2010-09-05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-09-06,Clear,Clear conditions throughout the day.,clear-day
NH,2010-09-07,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
NH,2010-09-08,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
NH,2010-09-09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-09-10,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-09-11,Clear,Clear conditions throughout the day.,clear-day
NH,2010-09-12,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
NH,2010-09-13,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain
NH,2010-09-14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-09-15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-09-16,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain
NH,2010-09-17,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain
NH,2010-09-18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-09-19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-09-20,Clear,Clear conditions throughout the day.,clear-day
NH,2010-09-21,Clear,Clear conditions throughout the day.,clear-day
NH,2010-09-22,Rain,Clear conditions throughout the day with morning rain.,rain
NH,2010-09-23,Clear,Clear conditions throughout the day.,clear-day
NH,2010-09-24,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
NH,2010-09-25,Clear,Clear conditions throughout the day.,clear-day
NH,2010-09-26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-09-27,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
NH,2010-09-28,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
NH,2010-09-29,Clear,Clear conditions throughout the day.,clear-day
NH,2010-09-30,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain
NH,2010-10-01,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
NH,2010-10-02,Clear,Clear conditions throughout the day.,clear-day
NH,2010-10-03,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
NH,2010-10-04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NH,2010-10-05,Overcast,Cloudy skies throughout the day.,cloudy
NH,2010-10-06,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
NH,2010-10-07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
NH,2010-10-08,Clear,Clear conditions throughout the day.,clear-day
NH,2010-10-09,Clear,Clear conditions throughout the day.,clear-day
NH,2010-10-10,Clear,Clear conditions throughout the day.,clear-day
NH,2010-10-11,Clear,Clear conditions throughout the day.,clear-day
NH,2010-10-12,Clear,Clear conditions throughout the day.,clear-day
NH,2010-10-13,Clear,Clear conditions throughout the day.,clear-day
NH,2010-10-14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
